iter	RMSE
160	2.888885976
161	2.884833032
162	2.882812325
163	2.878262678
164	2.876022169
165	2.872288328
166	2.869475855
167	2.867401578
168	2.863804743
169	2.861772385
170	2.8579763
171	2.85457299
172	2.849430233
173	2.846783018
174	2.844603135
175	2.842190822
176	2.838753982
177	2.836312468
178	2.832454546
179	2.829197816
180	2.826120395
181	2.821549319
182	2.8195144
183	2.814810124
184	2.811972261
185	2.808946029
186	2.807282711
187	2.802478748
188	2.800331241
189	2.797180439
190	2.795235391
191	2.790767206
192	2.788909161
193	2.787504395
194	2.784953652
195	2.782691864
196	2.781052824
197	2.779647082
198	2.776798343
199	2.775593924
200	2.773735148
201	2.771882565
202	2.769582697
203	2.767922002
204	2.766348591
205	2.762556967
206	2.760939632
207	2.758832573
208	2.75710747
209	2.755643587
210	2.753028963
211	2.751259521
212	2.747584322
213	2.745034388
214	2.74251509
215	2.737362314
216	2.734054483
217	2.73016721
218	2.728515532
219	2.725741094
220	2.721757231
221	2.720254741
222	2.718980354
223	2.717669748
224	2.715684891
225	2.711797286
226	2.710215471
227	2.707125489
228	2.704093719
229	2.702656241
230	2.701320316
231	2.698798566
232	2.697250304
233	2.695090787
234	2.691538955
235	2.68873856
236	2.687502946
237	2.686138295
238	2.681810086
239	2.680530963
240	2.678793797
241	2.675909719
242	2.67422586
243	2.67200741
244	2.670784847
245	2.66922462
246	2.666296237
247	2.664697078
248	2.66181015
249	2.660755927
250	2.657426927
251	2.655389354
252	2.652490233
253	2.64980352
254	2.648308819
255	2.646429083
256	2.644688069
257	2.642293706
258	2.641132029
259	2.639625952
260	2.638041511
261	2.634467447
262	2.631994659
263	2.630298291
264	2.62785199
265	2.626161047
266	2.623959452
267	2.62161501
268	2.619147204
269	2.617802636
270	2.615329729
271	2.61321168
272	2.611361971
273	2.609600581
274	2.607243719
275	2.604731079
276	2.602303771
277	2.600769306
278	2.597762572
279	2.596291682
280	2.595161419
281	2.593376992
282	2.591763015
283	2.589644888
284	2.588506188
285	2.586811982
286	2.584935332
287	2.583032048
288	2.581169822
289	2.578753154
290	2.577119351
291	2.575822667
292	2.573898417
293	2.572759407
294	2.571185221
295	2.569959302
296	2.567036022
297	2.564796664
298	2.562600636
299	2.561302351
300	2.559994302
301	2.558490208
302	2.556904598
303	2.554882835
304	2.55360195
305	2.551240081
306	2.550230083
307	2.548872447
308	2.546668821
309	2.545306743
310	2.543897433
311	2.541300881
312	2.539460641
313	2.537255351
314	2.536128947
315	2.535156537
316	2.532419992
317	2.530512656
318	2.528239513
319	2.526629013
320	2.524532759
321	2.522993317
322	2.521309348
323	2.518497737
324	2.517147493
325	2.514749956
326	2.513564776
327	2.512637683
328	2.509932125
329	2.508433633
330	2.507337913
331	2.50613555
332	2.504874281
333	2.503889975
334	2.502629628
335	2.501502253
336	2.500295132
337	2.498570958
338	2.49733275
339	2.495713328
340	2.493975688
341	2.492571039
342	2.491186477
343	2.489740723
344	2.488219378
345	2.487257503
346	2.486326388
347	2.484067543
348	2.48239386
349	2.480337304
350	2.478677748
351	2.476863035
352	2.475426528
353	2.473601227
354	2.471286143
355	2.469239201
356	2.467794286
357	2.466475113
358	2.465616457
359	2.464665133
360	2.463726801
361	2.462744067
362	2.461675501
363	2.460310698
364	2.458206933
365	2.456651078
366	2.454713173
367	2.45376312
368	2.451650977
369	2.450387427
370	2.449608907
371	2.447882139
372	2.446346775
373	2.444710312
374	2.443386998
375	2.441430504
376	2.439237662
377	2.43802271
378	2.435472273
379	2.434435997
380	2.432868032
381	2.430494192
382	2.428739797
383	2.426689724
384	2.425605792
385	2.423543544
386	2.421477318
387	2.420666821
388	2.419065193
389	2.417116811
390	2.416089216
391	2.415279789
392	2.414044766
393	2.412255049
394	2.410431472
395	2.409216216
396	2.407426278
397	2.406065639
398	2.404978523
399	2.402685981
400	2.400853317
401	2.399941689
402	2.398904195
403	2.397960363
404	2.396464624
405	2.394689525
406	2.393691218
407	2.39169157
408	2.390130428
409	2.388803048
410	2.388102833
411	2.387324283
412	2.386293427
413	2.38524321
414	2.384473187
415	2.383675983
416	2.382363221
417	2.379690814
418	2.37842382
419	2.377485145
420	2.376647211
421	2.375096653
422	2.37403309
423	2.372778713
424	2.370373819
425	2.369343554
426	2.368122931
427	2.367414012
428	2.366000295
429	2.364621194
430	2.362323765
431	2.361052797
432	2.359421554
433	2.358657854
434	2.357236486
435	2.354423545
436	2.353298491
437	2.352296995
438	2.35177804
439	2.350276101
440	2.349335923
441	2.348017138
442	2.34678473
443	2.345938889
444	2.345263728
445	2.34408885
446	2.342870695
447	2.341409013
448	2.339908678
449	2.339066131
450	2.337784912
451	2.336706709
452	2.335610578
453	2.334822403
454	2.332717274
455	2.331732935
456	2.330627142
457	2.329949268
458	2.327961735
459	2.326382271
460	2.325169303
461	2.323634514
462	2.322405333
463	2.321236066
464	2.320028369
465	2.318957693
466	2.317501546
467	2.3151337
468	2.314381065
469	2.313263087
470	2.311635756
471	2.310564646
472	2.309006813
473	2.308169379
474	2.306855259
475	2.305283491
476	2.303907298
477	2.303059456
478	2.301576611
479	2.301185405
480	2.299731877
481	2.298571243
482	2.297440433
483	2.296755477
484	2.295785104
485	2.294195459
486	2.292806156
487	2.290677251
488	2.288616658
489	2.285978892
490	2.284682534
491	2.283984099
492	2.282736571
493	2.280822612
494	2.280099256
495	2.279244947
496	2.276635505
497	2.275138434
498	2.274319746
499	2.272832785
500	2.270484634
501	2.26905566
502	2.266790296
503	2.264692132
504	2.262768433
505	2.260982916
506	2.259244887
507	2.257815824
508	2.256500855
509	2.25479943
510	2.253868685
511	2.253063482
512	2.25235188
513	2.251104306
514	2.250373719
515	2.249627776
516	2.248285811
517	2.247324926
518	2.246565347
519	2.245242403
520	2.243849527
521	2.243393055
522	2.242504201
523	2.241540551
524	2.239842703
525	2.238727388
526	2.23635828
527	2.235617659
528	2.233664204
529	2.233096368
530	2.231666839
531	2.231164937
532	2.229671613
533	2.22880331
534	2.227523148
535	2.226714516
536	2.225561415
537	2.224809939
538	2.223319218
539	2.221890558
540	2.220585796
541	2.218908559
542	2.217928655
543	2.217003664
544	2.215991361
545	2.215286452
546	2.213780006
547	2.213151077
548	2.212177028
549	2.211459344
550	2.210171019
551	2.209123934
552	2.208142682
553	2.207001945
554	2.206111592
555	2.205072481
556	2.204046758
557	2.202970679
558	2.202423937
559	2.200717125
560	2.199578655
561	2.198520549
562	2.197524682
563	2.196232418
564	2.194711826
565	2.194045331
566	2.193370003
567	2.192239811
568	2.191396654
569	2.191004652
570	2.18982019
571	2.189322043
572	2.188436005
573	2.187394435
574	2.185360819
575	2.184845757
576	2.184039196
577	2.183327934
578	2.181414359
579	2.180786106
580	2.179857879
581	2.178954019
582	2.17830638
583	2.177091914
584	2.175766336
585	2.174922294
586	2.174087121
587	2.17335643
588	2.172384295
589	2.171559144
590	2.170475482
591	2.169353694
592	2.167923915
593	2.166983312
594	2.165513381
595	2.164635081
596	2.163716661
597	2.162948319
598	2.16148961
599	2.160696524
600	2.159528901
601	2.159001104
602	2.156669296
603	2.155114887
604	2.154466552
605	2.153733297
606	2.152523896
607	2.151981656
608	2.14988773
609	2.14806415
610	2.146863249
611	2.146305389
612	2.144925833
613	2.144238493
614	2.143557796
615	2.142514119
616	2.140474407
617	2.139451899
618	2.138782481
619	2.138143159
620	2.137439489
621	2.136084877
622	2.135156281
623	2.133301357
624	2.132068865
625	2.131459786
626	2.130495398
627	2.129375103
628	2.127471525
629	2.126385034
630	2.125755345
631	2.125082619
632	2.124043097
633	2.123256863
634	2.122467633
635	2.121524127
636	2.120884118
637	2.120274336
638	2.119272761
639	2.117805983
640	2.116741277
641	2.114904035
642	2.114264179
643	2.113388121
644	2.112162761
645	2.111663576
646	2.110758648
647	2.109810925
648	2.108470136
649	2.106393133
650	2.104537396
651	2.103430144
652	2.102264029
653	2.101659548
654	2.100168063
655	2.098571273
656	2.09714454
657	2.096382385
658	2.095731991
659	2.094782408
